FOOD_NAME,EXPIRY_DATE
CREAM OF CELERY SOUP COMMERCIALLY CANNED OR PACKAGED SOLD UNREFRIGERATED — UNOPENED,1460
CREAM OF MUSHROOM SOUP — HOMEMADE,3
CREAM OF MUSHROOM SOUP COMMERCIALLY CANNED OR PACKAGED SOLD UNREFRIGERATED — OPENED,3
CREAM OF MUSHROOM SOUP COMMERCIALLY CANNED OR PACKAGED SOLD UNREFRIGERATED — UNOPENED,1460
CREAM OF ONION SOUP — HOMEMADE,3
CREAM OF ONION SOUP COMMERCIALLY CANNED OR PACKAGED SOLD UNREFRIGERATED — OPENED,3
CREAM OF ONION SOUP COMMERCIALLY CANNED OR PACKAGED SOLD UNREFRIGERATED — UNOPENED,1460
CREAM OF POTATO SOUP — HOMEMADE,3
CREAM OF POTATO SOUP COMMERCIALLY CANNED OR PACKAGED SOLD UNREFRIGERATED — OPENED,3
CREAM OF POTATO SOUP COMMERCIALLY CANNED OR PACKAGED SOLD UNREFRIGERATED — UNOPENED,1460
CUCUMBER - FRESH RAW SLICED OR CHOPPED,1
CUCUMBER - FRESH RAW WHOLE,7
DANDELION GREENS — FRESH COOKED,4
DANDELION GREENS - FRESH RAW,2
DOCK — FRESH COOKED,4
DRIED VEGETABLES COMMERCIALLY PACKAGED (INCLUDING VEGETABLE SOUP BLENDS) — UNOPENED OR OPENED,365
EDAMAME - COMMERCIALLY FROZEN,330
EGGPLANT - FRESH COOKED,4
EGGPLANT - FRESH RAW,6
ENDIVE - FRESH RAW,4
ESCAROLE — FRESH RAW,4
FENNEL BULB — FRESH RAW,8
FIDDLEHEAD FERNS — FRESH COOKED,4
FIDDLEHEAD FERNS - COMMERCIALLY FROZEN,330
FIDDLEHEAD FERNS — FRESH RAW,2
FRENCH FRIES (FRENCH FRIED POTATOES) - COMMERCIALLY FROZEN,330
FRENCH FRIES (FRENCH FRIED POTATOES) - COOKED LEFTOVERS,4
FRENCH ONION SOUP - HOMEMADE,3
FRENCH ONION SOUP COMMERCIALLY CANNED OR PACKAGED SOLD UNREFRIGERATED — OPENED,3
FRENCH ONION SOUP COMMERCIALLY CANNED OR PACKAGED SOLD UNREFRIGERATED — UNOPENED,1460
FRISEE LETTUCE — FRESH RAW,4
GARLIC - FRESH RAW CHOPPED,6
GARLIC - FRESH RAW WHOLE BULB / HEAD,120
GINGER ROOT - FRESH RAW,35
GRAPE LEAVES COMMERCIALLY CANNED OR BOTTLED — OPENED,3
