FOOD_NAME,EXPIRY_DATE
GUAVA — FRESH RAW CUT UP,3
GUAVA - FRESH RAW WHOLE,3
GUAVA NECTAR COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — OPENED,6
GUAVA NECTAR COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — UNOPENED,450
HONEYDEW MELONS - FRESH RAW CUT UP,4
HONEYDEW MELONS - FRESH RAW WHOLE,3
HUCKLEBERRIES — FRESH RAW,10
JUICE BOXES DRINK BOXES SOLD UNREFRIGERATED — OPENED,6
JUICE BOXES DRINK BOXES SOLD UNREFRIGERATED —UNOPENED,450
JUICE SMOOTHIES SOLD IN REFRIGERATED PACKAGE - UNOPENED,7
JUICE SMOOTHIES SOLD IN REFRIGERATED PACKAGE — OPENED,8
JUJUBES DRIED - UNOPENED OR OPENED PACKAGE,270
KIWI FRUIT - FRESH RAW CUT UP,3
KIWI FRUIT - FRESH RAW WHOLE,3
KIWI DRIED - UNOPENED OR OPENED PACKAGE,270
KUMQUATS - FRESH RAW,4
LEMON JUICE — FRESHLY SQUEEZED,2
LEMON JUICE SOLD UNREFRIGERATED  IN PLASTIC BOTTLE OR LEMON-SHAPED CONTAINER CONTAINING PRESERVATIVES - OPENED,450
LEMON JUICE SOLD UNREFRIGERATED  IN PLASTIC BOTTLE OR LEMON-SHAPED CONTAINER CONTAINING PRESERVATIVES - UNOPENED,450
LEMON PEEL CANDIED — UNOPENED OR OPENED PACKAGE,540
LEMONADE - COMMERCIALLY FROZEN CONCENTRATE,6
LEMONADE SOLD IN REFRIGERATED CARTON - UNOPENED,7
LEMONADE SOLD IN REFRIGERATED CARTON — OPENED,8
LEMONS - FRESH RAW CUT UP,3
LEMONS - FRESH RAW WHOLE,7
LIME JUICE — FRESHLY SQUEEZED,2
LIME JUICE SOLD UNREFRIGERATED  IN PLASTIC BOTTLE OR LIME-SHAPED CONTAINER CONTAINING PRESERVATIVES - UNOPENED,450
LIME JUICE SOLD UNREFRIGERATED IN PLASTIC BOTTLE OR LIME-SHAPED CONTAINER CONTAINING PRESERVATIVES - OPENED,450
LIMES - FRESH RAW CUT UP,3
LIMES - FRESH RAW WHOLE,7
LITCHIS (LYCHEES) — FRESH RAW,6
LITCHIS (LYCHEES) DRIED - UNOPENED OR OPENED PACKAGE,270
LOGANBERRIES — COMMERCIALLY FROZEN,365
MANGO NECTAR COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — OPENED,6
MANGO NECTAR COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — UNOPENED,450
MANGO DRIED - UNOPENED OR OPENED PACKAGE,270
MANGO- COMMERCIALLY FROZEN,365
MANGOS (MANGOES) — FRESH RAW CUT UP,3
MANGOS (MANGOES) - FRESH RAW WHOLE,3
MARASCHINO CHERRIES COMMERCIALLY CANNED OR BOTTLED — OPENED,45
MARASCHINO CHERRIES COMMERCIALLY CANNED OR BOTTLED — UNOPENED,1095
MELON BALLS — COMMERCIALLY FROZEN,365
MIXED BERRIES - COMMERCIALLY FROZEN,365
MIXED FRUIT - COMMERCIALLY FROZEN,365
MIXED FRUIT CANDIED — UNOPENED OR OPENED PACKAGE,360
MIXED FRUIT DRIED - UNOPENED OR OPENED PACKAGE,270
MIXED FRUIT- FRESH RAW CUT UP,4
NECTARINES — FRESH RAW CUT UP,3
NECTARINES - FRESH RAW WHOLE,2
OLIVES GREEN OR BLACK (ALL TYPES INCLUDING PIMIENTO-STUFFED KALAMATA PITTED MANZANILLA) COMMERCIALLY CANNED OR BOTTLED - OPENED,630
OLIVES GREEN OR BLACK (ALL TYPES INCLUDING PIMIENTO-STUFFED KALAMATA PITTED MANZANILLA) COMMERCIALLY CANNED OR BOTTLED - UNOPENED,912
OLIVES LOOSE IN OIL - SOLD AT GROCERY DELI COUNTER OR FOOD BAR,45
ORANGE JUICE - COMMERCIALLY FROZEN CONCENTRATE,6
ORANGE JUICE — FRESHLY SQUEEZED,2
ORANGE JUICE COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — OPENED,6
ORANGE JUICE COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — UNOPENED,450
ORANGE JUICE SOLD IN REFRIGERATED CARTON OR BOTTLE - UNOPENED,7
ORANGE JUICE SOLD IN REFRIGERATED CARTON OR BOTTLE — OPENED,8
ORANGE PEEL CANDIED — UNOPENED OR OPENED PACKAGE,540
ORANGES - FRESH RAW CUT UP,3
ORANGES - FRESH RAW WHOLE,6
PAPAYA NECTAR COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED - UNOPENED,450
PAPAYA NECTAR COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — OPENED,6
PAPAYAS — FRESH RAW CUT UP,3
PAPAYAS - FRESH RAW WHOLE,3
PASSION FRUIT (GRANADILLA) - FRESH RAW,3
PEACH NECTAR COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — OPENED,6
PEACH NECTAR COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — UNOPENED,450
PEACHES - COMMERCIALLY FROZEN,365
PEACHES - FRESH RAW CUT UP,3
PEACHES - FRESH RAW WHOLE,2
