FOOD_NAME,EXPIRY_DATE
MEATLOAF MIX DRY COMMERCIALLY PACKAGED — UNOPENED,450
MISO COMMERCIALLY PACKAGED - UNOPENED OR OPENED,540
MUSTARD PICKLES COMMERCIALLY JARRED SOLD UNREFRIGERATED - OPENED,365
MUSTARD PICKLES COMMERCIALLY JARRED SOLD UNREFRIGERATED - UNOPENED,730
MUSTARD COMMERCIALLY BOTTLED ALL TYPES (INCLUDING YELLOW DIJON WHOLE GRAIN) - OPENED,45
MUSTARD COMMERCIALLY BOTTLED ALL TYPES (INCLUDING YELLOW DIJON WHOLE GRAIN) - UNOPENED,730
OIL AVOCADO COMMERCIALLY BOTTLED — OPENED,210
OIL AVOCADO COMMERCIALLY BOTTLED — UNOPENED,365
OIL CANOLA COMMERCIALLY BOTTLED - OPENED,365
OIL CANOLA COMMERCIALLY BOTTLED — UNOPENED,730
OIL CHILI COMMERCIALLY BOTTLED — OPENED,730
OIL CHILI COMMERCIALLY BOTTLED — UNOPENED,730
OIL CORN COMMERCIALLY BOTTLED - OPENED,365
OIL CORN COMMERCIALLY BOTTLED — UNOPENED,730
OIL GRAPESEED COMMERCIALLY BOTTLED — OPENED,365
OIL GRAPESEED COMMERCIALLY BOTTLED — UNOPENED,540
OIL HAZELNUT COMMERCIALLY BOTTLED - OPENED,210
OIL HAZELNUT COMMERCIALLY BOTTLED — UNOPENED,365
OIL PEANUT COMMERCIALLY BOTTLED - OPENED,365
OIL PEANUT COMMERCIALLY BOTTLED — UNOPENED,730
OIL SAFFLOWER COMMERCIALLY BOTTLED - OPENED,365
OIL SAFFLOWER COMMERCIALLY BOTTLED — UNOPENED,730
OIL SESAME COMMERCIALLY BOTTLED — OPENED,365
OIL SESAME COMMERCIALLY BOTTLED — UNOPENED,540
OIL TRUFFLE COMMERCIALLY BOTTLED — OPENED,210
OIL TRUFFLE COMMERCIALLY BOTTLED — UNOPENED,365
OIL VEGETABLE COMMERCIALLY BOTTLED - OPENED,365
OIL VEGETABLE COMMERCIALLY BOTTLED — UNOPENED,730
OIL WALNUT COMMERCIALLY BOTTLED — OPENED,210
OIL WALNUT COMMERCIALLY BOTTLED — UNOPENED,365
OLIVE OIL VINAIGRETTE SALAD DRESSING COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - OPENED,225
OLIVE OIL VINAIGRETTE SALAD DRESSING COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - UNOPENED,450
OLIVE OIL COMMERCIALLY BOTTLED - OPENED,630
OLIVE OIL COMMERCIALLY BOTTLED - UNOPENED,730
OYSTER SAUCE COMMERCIALLY BOTTLED — OPENED,730
OYSTER SAUCE COMMERCIALLY BOTTLED — UNOPENED,1095
PASTA SAUCE SOLD IN REFRIGERATED CONTAINER - OPENED,6
PASTA SAUCE SOLD IN REFRIGERATED CONTAINER - UNOPENED,10
PESTO - HOMEMADE,4
PESTO COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - OPENED,10
PESTO COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - UNOPENED,450
PESTO SOLD IN REFRIGERATED CONTAINER - OPENED,6
PESTO SOLD IN REFRIGERATED CONTAINER - UNOPENED,10
PLUM SAUCE / DUCK SAUCE COMMERCIALLY BOTTLED - OPENED,365
PLUM SAUCE / DUCK SAUCE COMMERCIALLY BOTTLED - UNOPENED,1095
POPPYSEED SALAD DRESSING COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - OPENED,225
POPPYSEED SALAD DRESSING COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - UNOPENED,450
RANCH SALAD DRESSING COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - OPENED,225
RANCH SALAD DRESSING COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - UNOPENED,450
RED WINE VINAIGRETTE SALAD DRESSING COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - OPENED,225
RED WINE VINAIGRETTE SALAD DRESSING COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - UNOPENED,450
RELISH COMMERCIALLY JARRED ALL TYPES (INCLUDING HOTDOG HAMBURGER SWEET INDIA PICKLE PICCALILLI) - OPENED,365
RELISH COMMERCIALLY JARRED ALL TYPES (INCLUDING HOTDOG HAMBURGER SWEET INDIA PICKLE PICCALILLI) - UNOPENED,730
RUSSIAN SALAD DRESSING COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - OPENED,225
RUSSIAN SALAD DRESSING COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - UNOPENED,450
SALAD DRESSING - SOLD REFRIGERATED COMMERCIALLY BOTTLED (ALL TYPES) UNOPENED OR OPENED,24
SALAD DRESSING MIX / DIP MIX DRY — UNOPENED OR OPENED PACKAGE,630
SALAD DRESSING - HOMEMADE USING COMMERCIALLY PACKAGED DRY MIX,14
SALSA / PICANTE SAUCE COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - OPENED,30
SALSA / PICANTE SAUCE COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - UNOPENED,450
SALSA COMMERCIALLY PACKAGED SOLD IN REFRIGERATED CONTAINER - OPENED,6
SALSA COMMERCIALLY PACKAGED SOLD IN REFRIGERATED CONTAINER - UNOPENED,7
SALSA FRESH - HOMEMADE,6
SAUCE MIX DRY CONTAINING MILK SOLIDS (E.G. CREAM SAUCE) — UNOPENED OR OPENED PACKAGE,365
SHORTENING STICKS / BAKING STICKS - OPENED,180
SHORTENING STICKS / BAKING STICKS - UNOPENED,730
SHORTENING SOLD IN CAN - OPENED,365
SHORTENING SOLD IN CAN - UNOPENED,730
SOUP MIX DRY COMMERCIALLY PACKAGED (ALL TYPES INCLUDING ONION VEGETABLE CHICKEN NOODLE) — UNOPENED OR OPENED,630
SOUR PICKLES COMMERCIALLY JARRED SOLD UNREFRIGERATED - OPENED,365
SOUR PICKLES COMMERCIALLY JARRED SOLD UNREFRIGERATED - UNOPENED,730
SOY (SOYA) SAUCE COMMERCIALLY BOTTLED - OPENED,180
SOY (SOYA) SAUCE COMMERCIALLY BOTTLED - UNOPENED,1095
SPAGHETTI  SAUCE  / PASTA SAUCE CREAM-BASED COMMERCIALLY CANNED OR BOTTLED - OPENED,6
SPAGHETTI  SAUCE / PASTA SAUCE - HOMEMADE,3
SPAGHETTI  SAUCE / PASTA SAUCE TOMATO-BASED (INCLUDING MARINARA SAUCE) COMMERCIALLY CANNED OR BOTTLED - OPENED,8
SPAGHETTI SAUCE  / PASTA SAUCE CREAM-BASED COMMERCIALLY CANNED OR BOTTLED - UNOPENED,912
SPAGHETTI SAUCE / PASTA SAUCE TOMATO-BASED (INCLUDING MARINARA SAUCE) COMMERCIALLY CANNED OR BOTTLED - UNOPENED,450
SPAGHETTI SAUCE MIX DRY NON-DAIRY — UNOPENED OR OPENED PACKAGE,730
STEAK SAUCE COMMERCIALLY BOTTLED - OPENED,730
STEAK SAUCE COMMERCIALLY BOTTLED - UNOPENED,1095
STIR FRY SAUCE COMMERCIALLY BOTTLED — OPENED,730
STIR FRY SAUCE COMMERCIALLY BOTTLED — UNOPENED,1095
SUKIYAKI  SAUCE COMMERCIALLY BOTTLED - UNOPENED,1095
SUKIYAKI SAUCE COMMERCIALLY BOTTLED — OPENED,730
SWEET & SOUR SAUCE COMMERCIALLY BOTTLED - OPENED,365
SWEET & SOUR SAUCE COMMERCIALLY BOTTLED - UNOPENED,1095
SWEET PICKLES COMMERCIALLY JARRED SOLD UNREFRIGERATED - OPENED,365
SWEET PICKLES COMMERCIALLY JARRED SOLD UNREFRIGERATED - UNOPENED,730
TACO SAUCE COMMERCIALLY BOTTLED - OPENED,30
TACO SAUCE COMMERCIALLY BOTTLED — UNOPENED,450
TARTAR SAUCE COMMERCIALLY BOTTLED - OPENED,180
