FOOD_NAME,EXPIRY_DATE
EGGS - HARD BOILED AND PICKLED IN VINEGAR,105
EGGS DEVILED — HOMEMADE,4
EGGS: SCRAMBLED POACHED FRIED OMELETS FRITTATAS — COOKED LEFTOVERS,3
EMMENTAL /  EMMENTHAL CHEESE — SLICED AT GROCERY DELI COUNTER,24
EMMENTAL/ EMMENTHAL CHEESE SOLD IN WRAPPED BLOCK - UNOPENED,45
EMMENTAL/ EMMENTHAL CHEESE SOLD IN WRAPPED CHUNK OR BLOCK - OPENED,24
FARMER CHEESE — OPENED PACKAGE,6
FARMER CHEESE — UNOPENED PACKAGE,7
FETA CHEESE CRUMBLES COMMERCIALLY PACKAGED — OPENED PACKAGE,6
FETA CHEESE CRUMBLES COMMERCIALLY PACKAGED — UNOPENED PACKAGE,7
FETA CHEESE PACKAGED IN BRINE — OPENED,35
FETA CHEESE PACKAGED IN BRINE — UNOPENED,90
FETA CHEESE SOLD IN WRAPPED WEDGE - UNOPENED OR OPENED,10
FONTINA CHEESE SOLD IN WRAPPED BLOCK — OPENED,24
FONTINA CHEESE SOLD IN WRAPPED BLOCK - UNOPENED,45
GLOUCESTER CHEESE SOLD IN WRAPPED BLOCK - UNOPENED,45
GLOUCESTER CHEESE SOLD IN WRAPPED BLOCK - OPENED,24
GOAT CHEESE / CHEVRE FRESH — UNOPENED OR OPENED,10
GOAT CHEESE CRUMBLES COMMERCIALLY PACKAGED - OPENED PACKAGE,6
GOAT CHEESE CRUMBLES COMMERCIALLY PACKAGED - UNOPENED PACKAGE,7
GORGONZOLA CHEESE SOLD IN WRAPPED WEDGE (FIRM TEXTURE) - UNOPENED OR OPENED,24
GOUDA CHEESE - SLICED AT GROCERY DELI COUNTER,17
GOUDA CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED - OPENED PACKAGE,6
GOUDA CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED — UNOPENED PACKAGE,7
GOUDA CHEESE SOLD IN WRAPPED CHUNK OR BLOCK - UNOPENED OR OPENED,17
GRUYERE CHEESE — SLICED AT GROCERY DELI COUNTER,24
GRUYERE CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED - OPENED PACKAGE,6
GRUYERE CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED — UNOPENED PACKAGE,7
GRUYERE CHEESE SOLD IN WRAPPED BLOCK - UNOPENED,45
GRUYERE CHEESE SOLD IN WRAPPED CHUNK OR BLOCK - OPENED,24
